id_linha,circular,letreiro_numerico,sentido,tipo_letreiro,terminal_principal,terminal_secundario
35385,False,1788,2,31,METRÔ SANTANA,JD. FONTALIS
558,False,178A,1,10,LAPA,METRÔ SANTANA
33326,False,178A,2,10,LAPA,METRÔ SANTANA
560,False,178L,1,10,HOSP. DAS CLÍNICAS,LAUZANE PAULISTA
33328,False,178L,2,10,HOSP. DAS CLÍNICAS,LAUZANE PAULISTA
565,False,178T,1,10,CEASA,METRÔ SANTANA
33333,False,178T,2,10,CEASA,METRÔ SANTANA
868,False,178Y,1,10,METRÔ JD. SÃO PAULO,VL. AMÉLIA
33636,False,178Y,2,10,METRÔ JD. SÃO PAULO,VL. AMÉLIA
2225,False,178Y,1,21,METRÔ JD. SÃO PAULO,CONJ. DOS BANCÁRIOS
34993,False,178Y,2,21,METRÔ JD. SÃO PAULO,CONJ. DOS BANCÁRIOS
680,False,179X,1,10,METRÔ BARRA FUNDA,JD. FONTÁLIS
33448,False,179X,2,10,METRÔ BARRA FUNDA,JD. FONTÁLIS
2520,False,1896,1,10,PÇA. RAMOS DE AZEVEDO,JARAGUÁ
35288,False,1896,2,10,PÇA. RAMOS DE AZEVEDO,JARAGUÁ
2450,False,189L,1,10,LAPA,CONEXÃO VL. IÓRIO
35218,False,189L,2,10,LAPA,CONEXÃO VL. IÓRIO
2604,True,189L,1,21,LAPA,CONEXÃO VL. IÓRIO
35372,True,189L,2,21,LAPA,CONEXÃO VL. IÓRIO
2135,False,199D,1,10,TERM. PINHEIROS,CONEXÃO VL. IÓRIO
34903,False,199D,2,10,TERM. PINHEIROS,CONEXÃO VL. IÓRIO
711,True,2002,1,10,TERM. BANDEIRA,TERM. PQ. D. PEDRO II
33479,True,2002,2,10,TERM. BANDEIRA,TERM. PQ. D. PEDRO II
892,False,2004,1,10,CPTM GUAIANASES,JD. NSA. SRA. DO CAMINHO
33660,False,2004,2,10,CPTM GUAIANASES,JD. NSA. SRA. DO CAMINHO
893,True,2005,1,10,SÃO MIGUEL,JD. ROMANO
33661,True,2005,2,10,SÃO MIGUEL,JD. ROMANO
895,False,2006,1,10,CPTM ITAIM PAULISTA,CID. KEMEL I
33663,False,2006,2,10,CPTM ITAIM PAULISTA,CID. KEMEL I
896,False,2007,1,10,CPTM ITAIM PAULISTA,CID. KEMEL II
33664,False,2007,2,10,CPTM ITAIM PAULISTA,CID. KEMEL II
897,False,2008,1,10,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO
33665,False,2008,2,10,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO
898,False,2009,1,10,CPTM GUAIANASES,JD. ROBRU
33666,False,2009,2,10,CPTM GUAIANASES,JD. ROBRU
2104,False,2010,1,10,SHOP. D,PQ. EDU CHAVES
34872,False,2010,2,10,SHOP. D,PQ. EDU CHAVES
2136,False,2011,1,10,METRÔ SANTANA,VL. SABRINA
34904,False,2011,2,10,METRÔ SANTANA,VL. SABRINA
2281,True,2012,1,10,SHOP.D,VL. MEDEIROS
35049,True,2012,2,10,SHOP.D,VL. MEDEIROS
899,False,2013,1,10,CACHOEIRINHA,COHAB ANTÁRTICA
33667,False,2013,2,10,CACHOEIRINHA,COHAB ANTÁRTICA
900,False,2014,1,10,METRÔ BARRA FUNDA,JD. PERY ALTO
33668,False,2014,2,10,METRÔ BARRA FUNDA,JD. PERY ALTO
902,False,2016,1,10,SÃO MIGUEL,JD. DAS OLIVEIRAS
33670,False,2016,2,10,SÃO MIGUEL,JD. DAS OLIVEIRAS
903,True,2017,1,10,SÃO MIGUEL,JD. ROBRU
33671,True,2017,2,10,SÃO MIGUEL,JD. ROBRU
904,True,2018,1,10,SÃO MIGUEL,JD. CAMPOS
33672,True,2018,2,10,SÃO MIGUEL,JD. CAMPOS
905,False,2019,1,10,SHOP. PENHA,PQ. PAINEIRAS
33673,False,2019,2,10,SHOP. PENHA,PQ. PAINEIRAS
2262,True,2020,1,10,METRÔ TUCURUVI,HORTO FLORESTAL
35030,True,2020,2,10,METRÔ TUCURUVI,HORTO FLORESTAL
906,False,2021,1,10,CPTM GUAIANASES,JD. BANDEIRANTES
33674,False,2021,2,10,CPTM GUAIANASES,JD. BANDEIRANTES
2260,False,2023,1,10,METRÔ TUCURUVI,CACHOEIRA
35028,False,2023,2,10,METRÔ TUCURUVI,CACHOEIRA
2539,False,2023,1,41,METRÔ TUCURUVI,JD. LABITARY
35307,False,2023,2,41,METRÔ TUCURUVI,JD. LABITARY
2261,True,2024,1,10,CACHOEIRA,DIB
35029,True,2024,2,10,CACHOEIRA,DIB
2267,False,2025,1,10,SANTANA,VL. NOVA GALVÃO
35035,False,2025,2,10,SANTANA,VL. NOVA GALVÃO
2269,False,2026,1,10,PQ. NOVO MUNDO,JAÇANÃ
35037,False,2026,2,10,PQ. NOVO MUNDO,JAÇANÃ
35031,False,2028,2,10,METRÔ TUCURUVI,VL. AYROSA
2263,False,2028,1,10,METRÔ TUCURUVI,VL. AYROSA
2270,False,2029,1,10,METRÔ TUCURUVI,JD. FONTÁLIS
35038,False,2029,2,10,METRÔ TUCURUVI,JD. FONTÁLIS
2264,True,2030,1,10,METRÔ SANTANA,LAUZANE PAULISTA
35032,True,2030,2,10,METRÔ SANTANA,LAUZANE PAULISTA
367,False,2031,1,10,TERM. A. E. CARVALHO,CID. KEMEL II
33135,False,2031,2,10,TERM. A. E. CARVALHO,CID. KEMEL II
2266,True,2032,1,10,METRÔ CARANDIRU,JD. BRASIL
35034,True,2032,2,10,METRÔ CARANDIRU,JD. BRASIL
2499,True,2033,1,10,SHOP. D,VL. SABRINA
35267,True,2033,2,10,SHOP. D,VL. SABRINA
2623,True,2034,1,10,CENTRO TEA,METRÔ TIETÊ
35391,True,2034,2,10,CENTRO TEA,METRÔ TIETÊ
259,False,2058,1,10,CPTM GUAIANASES,TERM. SÃO MIGUEL
33027,False,2058,2,10,CPTM GUAIANASES,TERM. SÃO MIGUEL
260,False,2059,1,10,CPTM GUAIANASES,SÃO MIGUEL
33028,False,2059,2,10,CPTM GUAIANASES,SÃO MIGUEL
134,True,2060,1,10,METRÔ ARTUR ALVIM,TERM. A. E. CARVALHO
32902,True,2060,2,10,METRÔ ARTUR ALVIM,TERM. A. E. CARVALHO
368,False,2076,1,10,TERM. PENHA,JD. DAS OLIVEIRAS
33136,False,2076,2,10,TERM. PENHA,JD. DAS OLIVEIRAS
370,True,2079,1,10,CPTM ITAIM PAULISTA,JD. NÉLIA
33138,True,2079,2,10,CPTM ITAIM PAULISTA,JD. NÉLIA
371,False,2080,1,10,TERM. ARICANDUVA,CID. KEMEL
33139,False,2080,2,10,TERM. ARICANDUVA,CID. KEMEL
372,False,2088,1,10,TERM. A. E. CARVALHO,CONJ. ENCOSTA NORTE
33140,False,2088,2,10,TERM. A. E. CARVALHO,CONJ. ENCOSTA NORTE
2478,False,208M,1,10,TERM. PINHEIROS,METRÔ SANTANA
35246,False,208M,2,10,TERM. PINHEIROS,METRÔ SANTANA
207,False,208V,1,10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO
32975,False,208V,2,10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO
2301,False,209P,1,1,TERM. PINHEIROS,CACHOEIRINHA
35069,False,209P,2,1,TERM. PINHEIROS,CACHOEIRINHA
2216,False,209P,1,10,TERM. PINHEIROS,CACHOEIRINHA
34984,False,209P,2,10,TERM. PINHEIROS,CACHOEIRINHA
713,False,2100,1,10,PÇA. DA SÉ,TERM. VL. CARRÃO
33481,False,2100,2,10,PÇA. DA SÉ,TERM. VL. CARRÃO
2528,False,2100,1,21,TERM. PQ. D. PEDRO II,TERM. VL. CARRÃO
35296,False,2100,2,21,TERM. PQ. D. PEDRO II,TERM. VL. CARRÃO
714,True,2101,1,10,PÇA. DA SÉ,PÇA. SILVIO ROMERO
33482,True,2101,2,10,PÇA. DA SÉ,PÇA. SILVIO ROMERO
715,True,2101,1,41,TERM. VL. PRUDENTE,PÇA. SILVIO ROMERO
33483,True,2101,2,41,TERM. VL. PRUDENTE,PÇA. SILVIO ROMERO
2255,False,2104,1,10,TERM. PQ. D. PEDRO II,METRÔ SANTANA
35023,False,2104,2,10,TERM. PQ. D. PEDRO II,METRÔ SANTANA
2247,False,2105,1,10,LGO. DA CONCÓRDIA,JD. FILHOS DA TERRA
35015,False,2105,2,10,LGO. DA CONCÓRDIA,JD. FILHOS DA TERRA
2618,False,2105,1,21,METRÔ SANTANA,JD. FILHOS DA TERRA
35386,False,2105,2,21,METRÔ SANTANA,JD. FILHOS DA TERRA
2265,False,211L,1,10,LAPA,MANDAQUI
35033,False,211L,2,10,LAPA,MANDAQUI
154,True,211V,1,10,PENHA,VL. PARANAGUÁ
32922,True,211V,2,10,PENHA,VL. PARANAGUÁ
692,False,2123,1,10,LIBERDADE,VL. MEDEIROS
33460,False,2123,2,10,LIBERDADE,VL. MEDEIROS
693,False,2127,1,10,LIBERDADE,PQ. EDU CHAVES
33461,False,2127,2,10,LIBERDADE,PQ. EDU CHAVES
2498,False,213E,1,10,METRÔ BELÉM,PQ. EDU CHAVES
35266,False,213E,2,10,METRÔ BELÉM,PQ. EDU CHAVES
694,False,2161,1,10,PÇA. DO CORREIO,PQ. EDU CHAVES
