id_x,timestamp_coleta_x,id_onibus,letreiro_linha,latitude,longitude,timestamp_posicao,id_y,timestamp_coleta_y,id_linha,id_parada,horario_previsao
367857,2025-08-15 09:01:02.828951,71246,648P-10,-23.6514915,-46.757566249999996,2025-08-15T12:00:19Z,,,,,
367858,2025-08-15 09:01:02.828951,71251,648P-10,-23.6305255,-46.7094345,2025-08-15T12:00:31Z,,,,,
367859,2025-08-15 09:01:02.828951,71249,648P-10,-23.58231,-46.683800500000004,2025-08-15T12:00:30Z,,,,,
367860,2025-08-15 09:01:02.828951,16188,1034-10,-23.47114175,-46.71015375,2025-08-15T12:00:19Z,,,,,
367861,2025-08-15 09:01:02.828951,16224,1034-10,-23.484487,-46.710192500000005,2025-08-15T12:01:01Z,,,,,
367862,2025-08-15 09:01:02.828951,16149,1034-10,-23.4717795,-46.706688,2025-08-15T12:00:51Z,,,,,
367863,2025-08-15 09:01:02.828951,16230,1034-10,-23.471967749999997,-46.70985875,2025-08-15T12:00:54Z,,,,,
367864,2025-08-15 09:01:02.828951,16461,9020-10,-23.486474,-46.7266785,2025-08-15T12:00:58Z,,,,,
367865,2025-08-15 09:01:02.828951,16135,9020-10,-23.4778385,-46.71893625,2025-08-15T12:00:37Z,,,,,
367866,2025-08-15 09:01:02.828951,48477,4011-10,-23.6227125,-46.414294,2025-08-15T12:00:15Z,,,,,
367867,2025-08-15 09:01:02.828951,48259,4011-10,-23.596091,-46.453577,2025-08-15T12:00:52Z,,,,,
367868,2025-08-15 09:01:02.828951,48194,4011-10,-23.622324499999998,-46.4136695,2025-08-15T11:57:30Z,,,,,
367869,2025-08-15 09:01:02.828951,48192,4011-10,-23.5976935,-46.434525,2025-08-15T12:00:57Z,,,,,
367870,2025-08-15 09:01:02.828951,48342,4011-10,-23.6224175,-46.414038500000004,2025-08-15T12:00:45Z,,,,,
367871,2025-08-15 09:01:02.828951,21304,177Y-10,-23.561797125,-46.68861224999999,2025-08-15T12:00:34Z,,,,,
367872,2025-08-15 09:01:02.828951,21701,177Y-10,-23.539414999999998,-46.67520475,2025-08-15T12:01:00Z,,,,,
367873,2025-08-15 09:01:02.828951,21591,177Y-10,-23.5659435,-46.701088999999996,2025-08-15T12:00:15Z,,,,,
367874,2025-08-15 09:01:02.828951,78925,6012-31,-23.686719500000002,-46.7881045,2025-08-15T12:00:59Z,,,,,
367875,2025-08-15 09:01:02.828951,32207,4036-10,-23.542672000000003,-46.470274,2025-08-15T12:00:42Z,,,,,
367876,2025-08-15 09:01:02.828951,32236,4036-10,-23.556762,-46.518831000000006,2025-08-15T12:00:30Z,,,,,
367877,2025-08-15 09:01:02.828951,32066,4036-10,-23.5562685,-46.4780305,2025-08-15T12:00:28Z,,,,,
367878,2025-08-15 09:01:02.828951,32238,4036-10,-23.558351000000002,-46.5228025,2025-08-15T12:00:34Z,,,,,
367879,2025-08-15 09:01:02.828951,52784,5143-10,-23.614242,-46.501176,2025-08-15T12:00:39Z,,,,,
367880,2025-08-15 09:01:02.828951,52743,5143-10,-23.5864465,-46.598508499999994,2025-08-15T12:00:59Z,,,,,
367881,2025-08-15 09:01:02.828951,22528,1778-10,-23.466824000000003,-46.569223,2025-08-15T12:00:36Z,,,,,
367882,2025-08-15 09:01:02.828951,22537,1778-10,-23.499901375,-46.62308,2025-08-15T12:00:48Z,,,,,
367883,2025-08-15 09:01:02.828951,78472,6258-10,-23.684614,-46.736576,2025-08-15T12:00:28Z,,,,,
367884,2025-08-15 09:01:02.828951,78787,6258-10,-23.67978575,-46.7345675,2025-08-15T12:00:34Z,,,,,
367885,2025-08-15 09:01:02.828951,78861,6258-10,-23.666625,-46.721889499999996,2025-08-15T12:00:57Z,,,,,
