id,timestamp_analise,id_onibus,letreiro_linha,posicao_atual_lat,posicao_atual_lon,horario_posicao,proximo_ponto_previsto,horario_previsto_chegada
3198553,"2025-09-30 01:57:04.235357",31024,4313-10,-23.583113,-46.4080205,2025-08-15T15:43:02Z,820012014.0,07:34
3198554,"2025-09-30 01:57:04.235357",31244,4313-10,-23.596309,-46.455173,2025-08-15T15:43:25Z,540014576.0,00:02
3198555,"2025-09-30 01:57:04.235357",31253,4313-10,-23.551944,-46.624623,2025-08-15T15:43:37Z,820012014.0,09:47
3198556,"2025-09-30 01:57:04.235357",31263,4313-10,-23.539594,-46.572009,2025-08-15T15:42:33Z,80014597.0,09:09
3199343,"2025-09-30 01:57:04.235357",11894,917H-10,-23.56325125,-46.654227,2025-08-15T15:43:43Z,440016921.0,06:28
3199344,"2025-09-30 01:57:04.235357",11823,917H-10,-23.575458,-46.6413405,2025-08-15T15:43:35Z,70016916.0,08:20
3199345,"2025-09-30 01:57:04.235357",11898,917H-10,-23.547011,-46.6899215,2025-08-15T15:43:42Z,440016921.0,07:00
3199346,"2025-09-30 01:57:04.235357",11906,917H-10,-23.5084305,-46.752834,2025-08-15T15:43:14Z,440016921.0,00:18
3199347,"2025-09-30 01:57:04.235357",11886,917H-10,-23.4860235,-46.739406,2025-08-15T15:43:04Z,440016921.0,04:59
3199348,"2025-09-30 01:57:04.235357",11893,917H-10,-23.5402555,-46.7181975,2025-08-15T15:43:39Z,440016921.0,21:24
3199349,"2025-09-30 01:57:04.235357",11888,917H-10,-23.4913325,-46.7494085,2025-08-15T15:43:23Z,70016782.0,00:22
3199613,"2025-09-30 01:57:04.235357",31186,4310-10,-23.538698,-46.565755,2025-08-15T15:43:15Z,820012014.0,19:16
3199615,"2025-09-30 01:57:04.235357",31189,4310-10,-23.5410235,-46.5771155,2025-08-15T15:43:33Z,820012014.0,07:11
3199616,"2025-09-30 01:57:04.235357",31296,4310-10,-23.53961375,-46.485739375,2025-08-15T15:43:29Z,820012486.0,08:24
3199617,"2025-09-30 01:57:04.235357",31194,4310-10,-23.552673,-46.61098,2025-08-15T15:43:24Z,540014577.0,06:35
3199619,"2025-09-30 01:57:04.235357",31147,4310-10,-23.5403055,-46.4640485,2025-08-15T15:43:19Z,820012014.0,06:24
3199621,"2025-09-30 01:57:04.235357",31162,4310-10,-23.53199725,-46.53266025,2025-08-15T15:43:34Z,820012014.0,09:01
3199752,"2025-09-30 01:57:04.235357",11910,917H-10,-23.4879405,-46.7481915,2025-08-15T15:43:41Z,440016921.0,08:21
3199754,"2025-09-30 01:57:04.235357",11905,917H-10,-23.535822,-46.71315525,2025-08-15T15:43:36Z,70016782.0,09:03
3199755,"2025-09-30 01:57:04.235357",11899,917H-10,-23.589263,-46.634504,2025-08-15T15:43:08Z,260016732.0,08:20
3199756,"2025-09-30 01:57:04.235357",11822,917H-10,-23.48608,-46.7258125,2025-08-15T15:43:38Z,70016918.0,00:00
3199757,"2025-09-30 01:57:04.235357",11904,917H-10,-23.5407565,-46.70155875,2025-08-15T15:43:18Z,440016921.0,08:37
3199758,"2025-09-30 01:57:04.235357",11883,917H-10,-23.534247625,-46.72784025,2025-08-15T15:43:41Z,70016834.0,00:03
3199759,"2025-09-30 01:57:04.235357",11907,917H-10,-23.5363125,-46.72617225,2025-08-15T15:42:57Z,70016782.0,09:12
3199760,"2025-09-30 01:57:04.235357",11903,917H-10,-23.55714,-46.66141,2025-08-15T15:43:08Z,440016921.0,01:04
3199761,"2025-09-30 01:57:04.235357",11456,917H-10,-23.486014,-46.7257505,2025-08-15T15:43:34Z,440016921.0,01:54
3199762,"2025-09-30 01:57:04.235357",11887,917H-10,-23.486222,-46.725945,2025-08-15T15:43:05Z,440016921.0,08:39
3199763,"2025-09-30 01:57:04.235357",11895,917H-10,-23.4863665,-46.726082,2025-08-15T15:43:45Z,440016921.0,00:00
3199764,"2025-09-30 01:57:04.235357",11890,917H-10,-23.486517,-46.7262255,2025-08-15T15:43:14Z,70016782.0,00:11
3204853,"2025-09-30 01:57:04.235357",31174,4310-10,-23.544655,-46.630301,2025-08-15T16:13:42Z,820012014.0,05:36
3204854,"2025-09-30 01:57:04.235357",31155,4310-10,-23.5348025,-46.4532225,2025-08-15T16:13:14Z,930012483.0,00:01
3204856,"2025-09-30 01:57:04.235357",31154,4310-10,-23.5430735,-46.6279255,2025-08-15T16:13:34Z,820012014.0,04:32
3204857,"2025-09-30 01:57:04.235357",31099,4310-10,-23.5322315,-46.5289215,2025-08-15T16:07:59Z,540014585.0,20:19
3204858,"2025-09-30 01:57:04.235357",31296,4310-10,-23.535216,-46.4541105,2025-08-15T16:13:16Z,820012486.0,08:24
3204859,"2025-09-30 01:57:04.235357",31181,4310-10,-23.544585875,-46.594611625,2025-08-15T16:12:56Z,820012014.0,22:36
3204861,"2025-09-30 01:57:04.235357",31112,4310-10,-23.5348025,-46.4532225,2025-08-15T16:13:37Z,80014579.0,18:53
3204862,"2025-09-30 01:57:04.235357",31147,4310-10,-23.535216,-46.4541105,2025-08-15T16:13:33Z,820012014.0,06:24
3204863,"2025-09-30 01:57:04.235357",31163,4310-10,-23.53583225,-46.4917425,2025-08-15T16:13:04Z,820012014.0,08:49
3204864,"2025-09-30 01:57:04.235357",31117,4310-10,-23.534623,-46.4529845,2025-08-15T16:13:32Z,820012014.0,18:23
3204865,"2025-09-30 01:57:04.235357",31162,4310-10,-23.535216,-46.4541105,2025-08-15T16:13:06Z,820012014.0,09:01
3204866,"2025-09-30 01:57:04.235357",31144,4310-10,-23.5324455,-46.536248,2025-08-15T16:13:22Z,540014575.0,18:54
3204867,"2025-09-30 01:57:04.235357",31157,4310-10,-23.547369,-46.63052,2025-08-15T16:13:08Z,820012014.0,07:02
3204868,"2025-09-30 01:57:04.235357",31357,4310-10,-23.535216,-46.4541105,2025-08-15T16:13:20Z,820012014.0,05:09
3204869,"2025-09-30 01:57:04.235357",31175,4310-10,-23.535216,-46.4541105,2025-08-15T16:13:46Z,1010076.0,00:00
3205346,"2025-09-30 01:57:04.235357",31027,4313-10,-23.5824475,-46.407563,2025-08-15T16:13:37Z,820012014.0,07:08
3205347,"2025-09-30 01:57:04.235357",31591,4313-10,-23.5813625,-46.4913625,2025-08-15T16:13:25Z,820012014.0,06:12
3205348,"2025-09-30 01:57:04.235357",31236,4313-10,-23.583284,-46.4074105,2025-08-15T16:13:42Z,820012014.0,00:41
3205349,"2025-09-30 01:57:04.235357",31277,4313-10,-23.5832455,-46.407549,2025-08-15T16:13:34Z,820012014.0,19:00
3205350,"2025-09-30 01:57:04.235357",31255,4313-10,-23.595320625,-46.438813625,2025-08-15T16:13:21Z,1010076.0,00:00
3205351,"2025-09-30 01:57:04.235357",31267,4313-10,-23.583196,-46.407725,2025-08-15T16:13:43Z,200012487.0,00:00
3205352,"2025-09-30 01:57:04.235357",31254,4313-10,-23.5399025,-46.5415365,2025-08-15T16:13:03Z,820012014.0,06:30
3205353,"2025-09-30 01:57:04.235357",31301,4313-10,-23.5824165,-46.407865,2025-08-15T16:13:43Z,820012486.0,00:53
3205354,"2025-09-30 01:57:04.235357",31266,4313-10,-23.58338225,-46.415035,2025-08-15T16:13:14Z,540014587.0,06:10
3205355,"2025-09-30 01:57:04.235357",31024,4313-10,-23.5824475,-46.407563,2025-08-15T16:13:24Z,820012014.0,07:34
3205356,"2025-09-30 01:57:04.235357",31256,4313-10,-23.5952845,-46.451296,2025-08-15T16:13:02Z,200012487.0,21:47
3205357,"2025-09-30 01:57:04.235357",31595,4313-10,-23.546217,-46.6305745,2025-08-15T16:13:37Z,820012014.0,07:51
3205358,"2025-09-30 01:57:04.235357",31025,4313-10,-23.54627625,-46.599816125,2025-08-15T16:13:04Z,820012014.0,00:10
3205786,"2025-09-30 01:57:04.235357",31201,4310-10,-23.5390665,-46.56908625,2025-08-15T16:13:37Z,80014580.0,00:00
3205787,"2025-09-30 01:57:04.235357",31186,4310-10,-23.530393,-46.51831425,2025-08-15T16:13:31Z,820012014.0,19:16
3205788,"2025-09-30 01:57:04.235357",31204,4310-10,-23.53237175,-46.535232,2025-08-15T16:13:04Z,80014597.0,09:08
3205789,"2025-09-30 01:57:04.235357",31189,4310-10,-23.5313855,-46.52055825,2025-08-15T16:13:34Z,820012014.0,07:11
3205790,"2025-09-30 01:57:04.235357",31184,4310-10,-23.55293525,-46.616193,2025-08-15T16:13:19Z,930012483.0,00:00
3206132,"2025-09-30 01:57:04.235357",11894,917H-10,-23.536202,-46.713928,2025-08-15T16:13:11Z,440016921.0,06:28
3206134,"2025-09-30 01:57:04.235357",11823,917H-10,-23.547517,-46.6874045,2025-08-15T16:13:04Z,70016916.0,08:20
3206135,"2025-09-30 01:57:04.235357",11899,917H-10,-23.557286,-46.661056,2025-08-15T16:13:22Z,260016732.0,08:20
3206136,"2025-09-30 01:57:04.235357",11898,917H-10,-23.53685975,-46.72582975,2025-08-15T16:13:12Z,440016921.0,07:00
3206137,"2025-09-30 01:57:04.235357",11906,917H-10,-23.4869535,-46.736668,2025-08-15T16:13:29Z,440016921.0,00:18
3206138,"2025-09-30 01:57:04.235357",11893,917H-10,-23.5084305,-46.752834,2025-08-15T16:13:12Z,440016921.0,21:24
3206139,"2025-09-30 01:57:04.235357",11892,917H-10,-23.485218,-46.740635,2025-08-15T16:13:08Z,440016921.0,06:12
3206525,"2025-09-30 01:57:04.235357",11910,917H-10,-23.53127625,-46.732145875,2025-08-15T16:13:13Z,440016921.0,08:21
3206526,"2025-09-30 01:57:04.235357",11905,917H-10,-23.556675,-46.66192525,2025-08-15T16:13:08Z,70016782.0,09:03
3206527,"2025-09-30 01:57:04.235357",11822,917H-10,-23.48608,-46.7258125,2025-08-15T16:13:07Z,70016918.0,00:00
3206528,"2025-09-30 01:57:04.235357",11904,917H-10,-23.562789375,-46.654997125,2025-08-15T16:13:35Z,440016921.0,08:37
3206529,"2025-09-30 01:57:04.235357",11883,917H-10,-23.5522855,-46.6754305,2025-08-15T16:13:08Z,70016834.0,00:03
